timestamps,open,high,low,close,volume,amount
2020-01-02,4.227819,4.2797413,4.215837,4.276812,849595800.0,3610826500.0
2020-01-03,4.215571,4.2589726,4.2086477,4.223559,793040100.0,3351932700.0
2020-01-06,4.1825533,4.23634,4.167376,4.234476,781679400.0,3287107600.0
2020-01-07,4.242198,4.2515173,4.1889443,4.195867,812490400.0,3428410000.0
2020-01-08,4.2318125,4.2816052,4.2057185,4.2627,1042047800.0,4423972000.0
2020-01-09,4.3092966,4.319415,4.2877293,4.3159537,803135300.0,3459986200.0
2020-01-10,4.335392,4.3460426,4.2917233,4.295984,778382000.0,3360497400.0
2020-01-13,4.307167,4.3484387,4.2938533,4.34764,812205000.0,3512197600.0
2020-01-14,4.350569,4.3561606,4.306102,4.317019,881717440.0,3820008000.0
2020-01-15,4.3300667,4.3652143,4.3287354,4.3449774,804370750.0,3492777700.0
2020-01-16,4.376131,4.426456,4.3676105,4.424592,896289100.0,3942505000.0
2020-01-17,4.4578753,4.459207,4.4048877,4.449355,1290863700.0,5735089700.0
2020-01-21,4.4381714,4.4783783,4.4315147,4.4333787,1108548200.0,4927896600.0
2020-01-22,4.4573426,4.4597397,4.4115443,4.412077,906556900.0,4020739300.0
2020-01-23,4.425124,4.4413667,4.4006276,4.4392366,739132300.0,3271835000.0
2020-01-24,4.460272,4.4608045,4.3787937,4.3945036,935824260.0,4139706000.0
2020-01-27,4.2909245,4.3503027,4.265629,4.321013,1204725400.0,5188713000.0
2020-01-28,4.360954,4.413675,4.342049,4.4056873,935140740.0,4096469500.0
2020-01-29,4.4690585,4.493289,4.411811,4.474384,1305240300.0,5824158700.0
2020-01-30,4.634412,4.634412,4.547608,4.6005955,1937796100.0,8922111000.0
2020-01-31,4.5854187,4.5904775,4.5153894,4.5326967,1357375500.0,6184196600.0
2020-02-03,4.5380225,4.6463943,4.537224,4.643199,1132279800.0,5198534000.0
2020-02-04,4.716689,4.809883,4.6945887,4.796037,1368289300.0,6505257500.0
2020-02-05,4.9001484,4.904675,4.7505054,4.7901793,1471680900.0,7117604000.0
2020-02-06,4.8186703,4.894557,4.79444,4.8894978,1042231700.0,5054085000.0
2020-02-07,4.8687286,4.9427514,4.858876,4.8964205,1259219100.0,6159714300.0
2020-02-10,4.888166,5.0282235,4.8793793,5.0244956,1346168800.0,6670355500.0
2020-02-11,5.076418,5.0777493,4.886036,4.911065,1996473600.0,9958045000.0
2020-02-12,4.9414196,4.948609,4.8421016,4.9182544,1767494700.0,8682988000.0
