timestamps,open,high,low,close,volume,amount
2020-01-02,26.849943,27.253567,26.81171,27.253567,68495360.0,1852265100.0
2020-01-03,26.84178,27.35452,26.828238,27.110994,58777744.0,1588990600.0
2020-01-06,26.91406,27.843765,26.901516,27.833612,117434960.0,3214575400.0
2020-01-07,27.886377,27.94691,27.70916,27.779846,86203010.0,2399079200.0
2020-01-08,27.77407,28.113178,27.730465,27.977577,88673840.0,2473895700.0
2020-01-09,28.313896,28.448303,28.080523,28.271284,83365560.0,2357453000.0
2020-01-10,28.464033,28.572952,28.267498,28.453878,65934124.0,1875139600.0
2020-01-13,28.579126,28.70318,28.382393,28.674309,77163370.0,2205695700.0
2020-01-14,28.67371,28.72608,28.430183,28.486336,65477120.0,1871275600.0
2020-01-15,28.534723,28.689243,28.507643,28.65778,54112284.0,1547467800.0
2020-01-16,28.782232,28.88677,28.67371,28.87602,65487164.0,1886337000.0
2020-01-17,29.122534,29.481155,29.00326,29.460644,131637240.0,3852614000.0
2020-01-21,29.45029,29.666935,29.27526,29.515005,122863770.0,3621639700.0
2020-01-22,29.663948,29.879997,29.52317,29.547262,71458350.0,2118997000.0
2020-01-23,29.62054,29.739017,29.476574,29.56359,66918440.0,1980781300.0
2020-01-24,29.725477,29.752956,29.135279,29.194817,74792970.0,2202812400.0
2020-01-27,28.505253,28.60561,28.265509,28.509035,85705820.0,2440160800.0
2020-01-28,28.708357,28.968412,28.481756,28.88279,74637290.0,2146592900.0
2020-01-29,29.04129,29.154394,28.781038,29.006245,54152460.0,1570190800.0
2020-01-30,28.635876,28.977373,28.574148,28.95746,68073500.0,1959578500.0
2020-01-31,29.228466,29.26451,28.416046,28.529943,110037520.0,3175654400.0
2020-02-03,29.104813,29.595652,29.004454,29.521975,181234720.0,5311396000.0
2020-02-04,28.96224,29.218111,28.315887,28.781437,240755730.0,6938440000.0
2020-02-05,29.143839,29.163155,28.468216,28.79418,91340536.0,2639042600.0
2020-02-06,28.91226,29.501266,28.882391,29.389956,94971460.0,2770456800.0
2020-02-07,29.219109,29.574741,29.179682,29.45248,71212270.0,2090543200.0
2020-02-10,29.415045,30.045269,29.374622,30.04089,96176744.0,2858272500.0
2020-02-11,30.132685,30.463428,29.976969,30.068768,87513750.0,2639455200.0
2020-02-12,30.184258,30.272669,30.041088,30.239414,77946800.0,2352774000.0
2020-02-13,30.067572,30.385172,29.948097,30.135075,57537304.0,1733828000.0
2020-02-14,30.157774,30.26769,29.978962,30.241405,58250430.0,1756917900.0
2020-02-18,30.15399,30.476969,30.087683,30.255543,64387344.0,1947301600.0
2020-02-19,30.41006,30.480553,30.286207,30.363667,57115456.0,1735460000.0
2020-02-20,30.24698,30.407473,29.953276,30.206758,65190864.0,1969000200.0
2020-02-21,29.959646,30.086487,29.440134,29.539099,106768184.0,3177030700.0
2020-02-24,28.336197,28.601627,28.012424,28.272676,124445704.0,3522526700.0
2020-02-25,28.4945,28.610987,27.487337,27.604816,129517944.0,3632901600.0
2020-02-26,27.777258,28.14942,27.410276,27.687454,124988080.0,3469182000.0
2020-02-27,27.063602,27.267902,26.169538,26.183676,156410860.0,4171662300.0
2020-02-28,25.374443,26.731264,25.252975,26.667545,201428270.0,5238456000.0
2020-03-02,26.909283,27.627716,26.387777,27.604816,139185340.0,3776431900.0
2020-03-03,27.831022,28.040298,26.468224,26.63708,142128240.0,3872163800.0
2020-03-04,27.060017,27.534328,26.622744,27.510832,119519096.0,3248765700.0
2020-03-05,26.792995,26.953886,25.918646,26.179893,136548770.0,3613265400.0
2020-03-06,25.287622,25.940748,25.033941,25.801163,162311740.0,4141525200.0
2020-03-09,23.993523,24.944735,23.855732,24.209175,173892530.0,4217031400.0
2020-03-10,24.977789,25.405106,24.183685,25.391567,137784200.0,3443163100.0
2020-03-11,24.855927,25.028366,23.718336,24.111803,137432660.0,3357288400.0
2020-03-12,22.353945,23.670746,22.072186,22.133516,236853620.0,5342848500.0
2020-03-13,23.396751,24.181496,22.148252,24.178907,199374270.0,4680580600.0
2020-03-16,21.69664,22.80894,21.248014,21.365896,242362770.0,5278630400.0
2020-03-17,21.71715,22.42125,20.889992,22.263145,208901040.0,4558823000.0
2020-03-18,21.10584,22.002892,20.649054,21.7281,233634500.0,4993113000.0
2020-03-19,21.66896,22.951115,21.018429,22.135906,185975520.0,4080973000.0
2020-03-20,22.51882,22.669754,21.148851,21.270515,208107570.0,4557969000.0
2020-03-23,21.034756,21.24463,20.08892,20.990152,210101310.0,4378430500.0
2020-03-24,21.982779,22.567205,21.63332,22.501097,181967940.0,4034429400.0
2020-03-25,22.392973,22.82288,21.565218,21.935787,226804540.0,5030347000.0
2020-03-26,22.196636,23.326859,21.74483,23.156412,192248020.0,4345994000.0
2020-03-27,22.45052,22.920052,21.983177,22.107828,157676420.0,3526495000.0
2020-03-30,22.553467,22.919056,21.87346,22.825668,147486740.0,3324780800.0
2020-03-31,22.873854,23.365091,22.634708,23.137094,163788220.0,3767569400.0
2020-04-01,22.381424,22.48935,21.7739,21.945345,130497240.0,2890188000.0
2020-04-02,21.903528,22.356932,21.766731,22.242636,141646130.0,3125770000.0
2020-04-03,22.196438,22.277681,21.407312,21.758167,129000670.0,2826391800.0
