timestamps,open,high,low,close,volume,amount
2020-01-02,92.72273,94.08741,92.39409,94.00916,108211630.0,10096507000.0
2020-01-03,93.007545,94.08113,92.8041,93.095184,116871750.0,10897939000.0
2020-01-06,91.95589,93.887085,91.63036,93.837,94558860.0,8777671000.0
2020-01-07,93.849525,94.181305,93.110855,93.39568,86958830.0,8142333000.0
2020-01-08,93.01068,95.289314,93.01068,94.89806,105495016.0,9922037000.0
2020-01-09,96.16572,97.164185,95.8402,96.91379,135869900.0,13114295000.0
2020-01-10,97.217384,97.865295,96.481834,97.13287,112336584.0,10916234000.0
2020-01-13,97.5429,99.242485,97.38953,99.208046,97070710.0,9546491000.0
2020-01-14,99.126686,99.398994,97.7088,97.86842,129357096.0,12745002000.0
2020-01-15,97.608635,98.751076,96.88873,97.449,97383490.0,9511870000.0
2020-01-16,98.15326,98.81369,97.68376,98.66971,86924650.0,8547309600.0
2020-01-17,98.99208,99.76519,98.59458,99.76207,110077464.0,10928323000.0
2020-01-21,99.280045,99.85283,98.90758,99.08599,88533290.0,8789728000.0
2020-01-22,99.71511,100.15644,99.317604,99.43968,81336130.0,8105731600.0
2020-01-23,99.50854,100.02185,98.79803,99.91857,83444450.0,8307875300.0
2020-01-24,100.23782,101.20186,99.38333,99.63061,117043310.0,11717604000.0
2020-01-27,97.04836,97.58359,95.42703,96.700935,129345600.0,12506423000.0
2020-01-28,97.84338,99.65877,97.71505,99.43655,129580430.0,12784851000.0
2020-01-29,101.55243,102.61662,100.59152,101.518,172707740.0,17541863000.0
2020-01-30,100.32858,101.43973,99.76832,101.370865,101233030.0,10196887000.0
2020-01-31,100.45067,100.99841,96.49437,96.87623,159416320.0,15735175000.0
2020-02-03,95.24549,98.12195,94.59445,96.61017,138966740.0,13360681000.0
2020-02-04,98.69161,100.0469,98.16577,99.79963,109118990.0,10821983000.0
2020-02-05,101.26133,101.64945,99.83093,100.613434,94909980.0,9570607000.0
2020-02-06,100.963974,101.79342,100.24095,101.79029,84206110.0,8521419300.0
2020-02-07,101.14085,101.464,99.7698,100.40669,93774660.0,9442670000.0
2020-02-10,98.571304,100.883575,98.46777,100.883575,87132880.0,8687284000.0
2020-02-11,101.52676,101.62087,99.99255,100.27492,75159960.0,7580165600.0
2020-02-12,100.85848,102.66249,100.85848,102.65622,90624290.0,9221830000.0
2020-02-13,101.71185,102.34875,101.44831,101.92519,75498140.0,7690130000.0
2020-02-14,101.884415,102.27346,101.29144,101.9503,63837268.0,6501819400.0
2020-02-18,98.94151,100.31885,98.70621,100.08354,121542100.0,12094962000.0
2020-02-19,100.39728,101.83108,100.39728,101.53302,74889680.0,7566828000.0
2020-02-20,101.222435,101.856186,99.83569,100.49141,80134430.0,8081671700.0
2020-02-21,99.964325,100.538475,97.41675,98.21678,103233064.0,10223592000.0
2020-02-24,93.2628,95.43389,90.74346,93.55144,177052770.0,16509797000.0
2020-02-25,94.42051,94.916214,89.77086,90.382645,183808640.0,16978874000.0
2020-02-26,89.896355,93.45732,89.88695,91.81645,157816860.0,14403040000.0
2020-02-27,88.19274,89.73007,85.63888,85.814575,255469540.0,22313748000.0
2020-02-28,80.71314,87.34878,80.43391,85.76437,340156450.0,28425190000.0
2020-03-02,88.56295,94.574234,87.132286,93.74909,272037020.0,24756632000.0
2020-03-03,95.27389,95.37742,89.66732,90.7717,254569120.0,23617034000.0
2020-03-04,93.00553,95.18916,91.96705,94.98209,174648880.0,16379612000.0
2020-03-05,92.71688,93.98126,91.42741,91.90116,149464450.0,13826460000.0
2020-03-06,88.4751,91.2423,88.23352,90.6807,180225440.0,16158635000.0
